date;Brazil;China;Colombia;France;Ghana;India;Indonesia;Japan;Netherlands;Senegal;Singapore;Switzerland;United States
1979-04-01;0.0;0.0;0.24738722475599523;0.11375695340825126;0.5334850108683038;0.07531188642882106;0.1668343185668568;0.047210336354863124;0.04777833937413519;0.09422276804608556;0.05189084830087633;0.03741356108780927;0.11828153840701724
1979-05-01;0.0;0.0;0.249402705633692;0.11618682397211401;0.5298423867091994;0.07957196671522193;0.1683365389057497;0.05060761205494183;0.04970680929142259;0.09345249121954638;0.0555995798166218;0.0377259417392528;0.120193814111758
1979-06-01;0.0;0.0;0.25141818651138875;0.11861669453597676;0.5261997625500949;0.08383204700162282;0.16983875924464262;0.05400488775502055;0.051635279208709986;0.0926822143930072;0.059308311332367275;0.03803832239069632;0.12210608981649876
1979-07-01;0.0;0.0;0.25343366738908546;0.12104656509983949;0.5225571383909905;0.08809212728802371;0.17134097958353556;0.057402163455099256;0.05356374912599739;0.09191193756646801;0.06301704284811276;0.03835070304213985;0.1240183655212395
1979-08-01;0.0;0.0;0.2554491482667822;0.12347643566370224;0.5189145142318861;0.09235220757442458;0.17284319992242847;0.060799439155177964;0.05549221904328479;0.09114166073992883;0.06672577436385822;0.03866308369358338;0.12593064122598024
1979-09-01;0.0;0.0;0.257464629144479;0.125906306227565;0.5152718900727816;0.09661228786082546;0.17434542026132138;0.06419671485525667;0.05742068896057219;0.09037138391338964;0.0704345058796037;0.038975464345026904;0.127842916930721
1979-10-01;0.0;0.0;0.25948011002217575;0.12833617679142775;0.5116292659136772;0.10087236814722635;0.1758476406002143;0.06759399055533538;0.05934915887785959;0.08960110708685046;0.07414323739534917;0.03928784499647043;0.12975519263546176
1979-11-01;0.0;0.0;0.2614955908998725;0.1307660473552905;0.5079866417545729;0.10513244843362723;0.1773498609391072;0.07099126625541409;0.06127762879514699;0.08883083026031127;0.07785196891109465;0.039600225647913954;0.1316674683402025
1979-12-01;0.0;0.0;0.2635110717775692;0.13319591791915325;0.5043440175954684;0.10939252872002811;0.17885208127800015;0.0743885419554928;0.06320609871243439;0.08806055343377209;0.08156070042684013;0.03991260629935748;0.13357974404494324
1980-01-01;0.0;0.0;0.265526552655266;0.13562578848301599;0.500701393436364;0.113652609006429;0.18035430161689306;0.07778581765557151;0.06513456862972179;0.0872902766072329;0.0852694319425856;0.040224986950801005;0.135492019749684
