date;bank capital to assets ratio;bank nonperforming loans;cereal yield;energy imports;food exports;high-tech exports;inflation;lending interest rate;life expectancy;population density;real interest rate;broad money;exports of goods and services;gross domestic savings;high-tech value added;household consumption expenditure;imports of goods and services;listed companies;manufacturing value added;r and d spend;services trade;trade;government debt service;government interest payments external debt;government tax revenue;birth deaths;broadband subscriptions;electricity access;co2 emissions;electricity consumption;mobile subscriptions;newborns;overweight;rural population;unemployed;urban population;workers
1960-01-01;0.0;0.0;0.0;0.05166475902766678;0.0;0.0;0.0;0.0018589444444148148;45.26734666666664;0.0;0.0;0.33685229877719963;0.06270992753479511;0.120670312266878;0.0;0.08391926421288382;0.06857175779064537;0.0;0.031246500707228196;0.0;0.00302737560926511;0.2477420346125487;0.0;0.0;0.0;0.025167731790435927;0.0;0.0;2.1967661851768856;0.49815280013189117;0.0;0.031761769306799525;0.0;0.663449087796968;0.0013680389857259516;0.33623539054244544;0.023169910793543233
1960-02-01;0.0;0.0;0.0;0.051741354917909696;0.0;0.0;0.0;0.0018593441357743828;45.326817687443516;0.0;0.0;0.3372613045333603;0.06284220452774338;0.12044978459133539;0.0;0.08393705073689842;0.06865898646480396;0.0;0.031365890601320126;0.0;0.0030116720827460795;0.24754781279002316;0.0;0.0;0.0;0.02512838770302651;0.0;0.0;2.1920066754410947;0.5002647189056048;0.0;0.03170195551785969;0.0;0.6630216788466661;0.0013996195637326727;0.33666262724618223;0.023189199637796063
1960-03-01;0.0;0.0;0.0;0.05181795080815261;0.0;0.0;0.0;0.0018597438271339506;45.38628870822039;0.0;0.0;0.337670310289521;0.06297448152069163;0.12022925691579278;0.0;0.08395483726091302;0.06874621513896258;0.0;0.03148528049541206;0.0;0.0029959685562270487;0.24735359096749765;0.0;0.0;0.0;0.025089043615617094;0.0;0.0;2.187247165705304;0.5023766376793183;0.0;0.031642141728919854;0.0;0.6625942698963643;0.0014312001417393938;0.337089863949919;0.023208488482048893
1960-04-01;0.0;0.0;0.0;0.05189454669839552;0.0;0.0;0.0;0.0018601435184935184;45.44575972899727;0.0;0.0;0.33807931604568164;0.0631067585136399;0.12000872924025019;0.0;0.08397262378492763;0.06883344381312118;0.0;0.031604670389504;0.0;0.0029802650297080183;0.2471593691449721;0.0;0.0;0.0;0.025049699528207674;0.0;0.0;2.1824876559695134;0.5044885564530318;0.0;0.03158232793998002;0.0;0.6621668609460624;0.0014627807197461146;0.3375171006536558;0.023227777326301723
1960-05-01;0.0;0.0;0.0;0.05197114258863844;0.0;0.0;0.0;0.0018605432098530864;45.50523074977414;0.0;0.0;0.33848832180184235;0.06323903550658815;0.11978820156470758;0.0;0.08399041030894223;0.06892067248727979;0.0;0.03172406028359593;0.0;0.002964561503188988;0.24696514732244657;0.0;0.0;0.0;0.025010355440798257;0.0;0.0;2.1777281462337226;0.5066004752267453;0.0;0.031522514151040175;0.0;0.6617394519957605;0.0014943612977528357;0.3379443373573926;0.023247066170554553
1960-06-01;0.0;0.0;0.0;0.052047738478881354;0.0;0.0;0.0;0.0018609429012126544;45.56470177055102;0.0;0.0;0.338897327558003;0.06337131249953641;0.11956767388916498;0.0;0.08400819683295684;0.06900790116143839;0.0;0.03184345017768786;0.0;0.0029488579766699576;0.24677092549992105;0.0;0.0;0.0;0.02497101135338884;0.0;0.0;2.1729686364979317;0.5087123940004589;0.0;0.03146270036210034;0.0;0.6613120430454585;0.0015259418757595567;0.3383715740611294;0.023266355014807383
1960-07-01;0.0;0.0;0.0;0.05212433436912427;0.0;0.0;0.0;0.0018613425925722222;45.624172791327894;0.0;0.0;0.3393063333141637;0.06350358949248466;0.11934714621362237;0.0;0.08402598335697145;0.06909512983559699;0.0;0.0319628400717798;0.0;0.0029331544501509273;0.2465767036773955;0.0;0.0;0.0;0.024931667265979424;0.0;0.0;2.168209126762141;0.5108243127741724;0.0;0.0314028865731605;0.0;0.6608846340951566;0.0015575224537662778;0.3387988107648662;0.023285643859060214
1960-08-01;0.0;0.0;0.0;0.05220093025936718;0.0;0.0;0.0;0.00186174228393179;45.68364381210477;0.0;0.0;0.33971533907032436;0.06363586648543293;0.11912661853807976;0.0;0.08404376988098605;0.0691823585097556;0.0;0.032082229965871734;0.0;0.0029174509236318965;0.24638248185486997;0.0;0.0;0.0;0.024892323178570007;0.0;0.0;2.16344961702635;0.5129362315478859;0.0;0.03134307278422067;0.0;0.6604572251448548;0.0015891030317729989;0.3392260474686029;0.023304932703313047
1960-09-01;0.0;0.0;0.0;0.05227752614961009;0.0;0.0;0.0;0.001862141975291358;45.743114832881645;0.0;0.0;0.340124344826485;0.0637681434783812;0.11890609086253716;0.0;0.08406155640500065;0.0692695871839142;0.0;0.032201619859963664;0.0;0.002901747397112866;0.24618826003234445;0.0;0.0;0.0;0.02485297909116059;0.0;0.0;2.158690107290559;0.5150481503215996;0.0;0.03128325899528083;0.0;0.6600298161945529;0.00162068360977972;0.3396532841723397;0.023324221547565877
1960-10-01;0.0;0.0;0.0;0.05235412203985301;0.0;0.0;0.0;0.001862541666650926;45.80258585365852;0.0;0.0;0.3405333505826457;0.06390042047132945;0.11868556318699455;0.0;0.08407934292901525;0.06935681585807281;0.0;0.032321009754055594;0.0;0.0028860438705938358;0.2459940382098189;0.0;0.0;0.0;0.024813635003751174;0.0;0.0;2.1539305975547682;0.5171600690953131;0.0;0.031223445206340992;0.0;0.659602407244251;0.001652264187786441;0.3400805208760765;0.023343510391818707
1960-11-01;0.0;0.0;0.0;0.052430717930095926;0.0;0.0;0.0;0.0018629413580104938;45.862056874435396;0.0;0.0;0.3409423563388064;0.06403269746427771;0.11846503551145196;0.0;0.08409712945302986;0.06944404453223141;0.0;0.03244039964814753;0.0;0.002870340344074805;0.24579981638729337;0.0;0.0;0.0;0.024774290916341753;0.0;0.0;2.149171087818978;0.5192719878690266;0.0;0.031163631417401156;0.0;0.6591749982939492;0.0016838447657931618;0.3405077575798133;0.023362799236071537
1960-12-01;0.0;0.0;0.0;0.05250731382033884;0.0;0.0;0.0;0.0018633410493700616;45.92152789521227;0.0;0.0;0.3413513620949671;0.06416497445722597;0.11824450783590935;0.0;0.08411491597704447;0.06953127320639002;0.0;0.03255978954223947;0.0;0.0028546368175557746;0.24560559456476785;0.0;0.0;0.0;0.024734946828932337;0.0;0.0;2.144411578083187;0.5213839066427401;0.0;0.031103817628461317;0.0;0.6587475893436473;0.001715425343799883;0.34093499428355006;0.023382088080324367
1961-01-01;0.0;0.0;0.8693751111111114;0.05258390971058175;0.0;0.0;0.01577064934659125;0.0018637407407296296;45.98099891598915;0.19298107895780803;0.001002314817815795;0.34176036785112773;0.06429725145017423;0.11802398016036675;0.0;0.08413270250105907;0.06961850188054862;0.0;0.0326791794363314;0.0;0.0028389332910367443;0.2454113727422423;0.0;0.0;0.0;0.02469560274152292;0.0;0.0;2.139652068347396;0.5234958254164537;0.0;0.03104400383952148;0.0;0.6583201803933454;0.001747005921806604;0.34136223098728685;0.023401376924577198
1961-02-01;0.0;0.0;0.8728722962962966;0.052764361061864024;0.0;0.0;0.01649564521419621;0.001862606790111111;46.00805859078589;0.19332924092019438;0.0010106633711042744;0.3435454897881376;0.06415817960283306;0.11790428500389281;0.0;0.08404320930326485;0.06952934184571298;0.0;0.03257520639593103;0.0;0.0028209049906904133;0.2447352804751709;0.0;0.0;0.0;0.02466081326416251;0.0;0.0;2.1415576153051377;0.5261306007739581;0.0;0.0313663071052416;0.0;0.6579525987738213;0.0017253618823248036;0.34172950751204334;0.023361035726112877
1961-03-01;0.0;0.0;0.8763694814814817;0.0529448124131463;0.0;0.0;0.017220641081801165;0.0018614728394925925;46.03511826558264;0.19367740288258073;0.001019011924392754;0.3453306117251474;0.06401910775549188;0.11778458984741888;0.0;0.08395371610547063;0.06944018181087733;0.0;0.03247123335553066;0.0;0.002802876690344082;0.2440591882080995;0.0;0.0;0.0;0.0246260237868021;0.0;0.0;2.1434631622628793;0.5287653761314626;0.0;0.031688610370961726;0.0;0.6575850171542971;0.0017037178428430033;0.34209678403679983;0.02332069452764856
1961-04-01;0.0;0.0;0.8798666666666668;0.05312526376442858;0.0;0.0;0.017945636949406124;0.001860338888874074;46.062177940379385;0.1940255648449671;0.0010273604776812333;0.34711573366215726;0.06388003590815071;0.11766489469094493;0.0;0.08386422290767641;0.06935102177604169;0.0;0.0323672603151303;0.0;0.002784848389997751;0.24338309594102808;0.0;0.0;0.0;0.02459123430944169;0.0;0.0;2.1453687092206204;0.531400151488967;0.0;0.03201091363668185;0.0;0.657217435534773;0.0016820738033612032;0.3424640605615563;0.02328035332918424
1961-05-01;0.0;0.0;0.883363851851852;0.053305715115710854;0.0;0.0;0.018670632817011083;0.0018592049382555554;46.08923761517613;0.19437372680735346;0.0010357090309697128;0.3489008555991671;0.06374096406080954;0.117545199534471;0.0;0.08377472970988219;0.06926186174120605;0.0;0.032263287274729935;0.0;0.0027668200896514197;0.24270700367395667;0.0;0.0;0.0;0.024556444832081283;0.0;0.0;2.147274256178362;0.5340349268464715;0.0;0.03233321690240197;0.0;0.6568498539152487;0.0016604297638794028;0.3428313370863128;0.02324001213071992
1961-06-01;0.0;0.0;0.8868610370370371;0.053486166466993126;0.0;0.0;0.019395628684616043;0.001858070987637037;46.11629728997288;0.1947218887697398;0.0010440575842581923;0.3506859775361769;0.06360189221346836;0.11742550437799706;0.0;0.08368523651208797;0.06917270170637041;0.0;0.03215931423432957;0.0;0.0027487917893050887;0.24203091140688526;0.0;0.0;0.0;0.024521655354720874;0.0;0.0;2.1491798031361036;0.5366697022039759;0.0;0.03265552016812209;0.0;0.6564822722957246;0.0016387857243976025;0.3431986136110693;0.023199670932255598
1961-07-01;0.0;0.0;0.8903582222222223;0.053666617818275406;0.0;0.0;0.020120624552221;0.0018569370370185184;46.14335696476962;0.1950700507321262;0.0010524061375466718;0.3524710994731868;0.06346282036612719;0.11730580922152312;0.0;0.08359574331429376;0.06908354167153477;0.0;0.03205534119392921;0.0;0.002730763488958758;0.24135481913981385;0.0;0.0;0.0;0.024486865877360466;0.0;0.0;2.1510853500938447;0.5393044775614804;0.0;0.032977823433842215;0.0;0.6561146906762005;0.0016171416849158024;0.3435658901358257;0.023159329733791277
1961-08-01;0.0;0.0;0.8938554074074074;0.053847069169557685;0.0;0.0;0.020845620419825957;0.0018558030863999998;46.170416639566376;0.19541821269451254;0.0010607546908351514;0.35425622141019664;0.06332374851878603;0.11718611406504918;0.0;0.08350625011649954;0.06899438163669912;0.0;0.031951368153528836;0.0;0.0027127351886124264;0.24067872687274244;0.0;0.0;0.0;0.024452076400000054;0.0;0.0;2.1529908970515863;0.5419392529189847;0.0;0.033300126699562345;0.0;0.6557471090566763;0.001595497645434002;0.3439331666605822;0.02311898853532696
1961-09-01;0.0;0.0;0.8973525925925926;0.05402752052083996;0.0;0.0;0.021570616287430917;0.0018546691357814813;46.19747631436312;0.1957663746568989;0.0010691032441236309;0.35604134334720644;0.06318467667144485;0.11706641890857525;0.0;0.08341675691870531;0.06890522160186348;0.0;0.03184739511312847;0.0;0.0026947068882660955;0.24000263460567103;0.0;0.0;0.0;0.024417286922639645;0.0;0.0;2.154896444009328;0.5445740282764892;0.0;0.03362242996528247;0.0;0.6553795274371522;0.0015738536059522017;0.3443004431853387;0.02307864733686264
1961-10-01;0.0;0.0;0.9008497777777777;0.05420797187212223;0.0;0.0;0.022295612155035876;0.0018535351851629628;46.22453598915987;0.19611453661928524;0.0010774517974121104;0.3578264652842163;0.06304560482410368;0.11694672375210131;0.0;0.0833272637209111;0.06881606156702784;0.0;0.03174342207272811;0.0;0.002676678587919764;0.23932654233859962;0.0;0.0;0.0;0.024382497445279237;0.0;0.0;2.1568019909670695;0.5472088036339936;0.0;0.03394473323100259;0.0;0.655011945817628;0.0015522095664704013;0.3446677197100952;0.02303830613839832
1961-11-01;0.0;0.0;0.9043469629629628;0.05438842322340451;0.0;0.0;0.02302060802264083;0.0018524012345444442;46.251595663956614;0.1964626985816716;0.0010858003507005897;0.35961158722122616;0.0629065329767625;0.11682702859562738;0.0;0.08323777052311687;0.06872690153219219;0.0;0.03163944903232774;0.0;0.002658650287573433;0.23865045007152821;0.0;0.0;0.0;0.024347707967918825;0.0;0.0;2.158707537924811;0.549843578991498;0.0;0.03426703649672271;0.0;0.6546443641981039;0.001530565526988601;0.3450349962348517;0.022997964939934
1961-12-01;0.0;0.0;0.907844148148148;0.05456887457468679;0.0;0.0;0.02374560389024579;0.0018512672839259257;46.27865533875336;0.19681086054405797;0.0010941489039890692;0.36139670915823596;0.06276746112942133;0.11670733343915343;0.0;0.08314827732532265;0.06863774149735655;0.0;0.031535475991927374;0.0;0.002640621987227102;0.2379743578044568;0.0;0.0;0.0;0.024312918490558416;0.0;0.0;2.160613084882552;0.5524783543490025;0.0;0.034589339762442835;0.0;0.6542767825785797;0.0015089214875068009;0.34540227275960816;0.02295762374146968
