date,bank capital to assets ratio,bank nonperforming loans,cereal yield,energy imports,food exports,high-tech exports,inflation,lending interest rate,life expectancy,population density,real interest rate,broad money,exports of goods and services,gross domestic savings,high-tech value added,household consumption expenditure,imports of goods and services,listed companies,manufacturing value added,r and d spend,services trade,trade,government debt service,government interest payments external debt,government tax revenue,birth deaths,broadband subscriptions,electricity access,co2 emissions,electricity consumption,mobile subscriptions,newborns,overweight,rural population,unemployed,urban population,workers,Brazil,China,Colombia,France,Ghana,India,Indonesia,Japan,Netherlands,Senegal,Singapore,Switzerland,United States
1960-01-01,0.0,0.0,0.0,0.05166475902766678,0.0,0.0,0.0,0.0018589444444148148,45.26734666666664,0.0,0.0,0.33685229877719963,0.06270992753479511,0.12067031226687801,0.0,0.08391926421288383,0.06857175779064538,0.0,0.0312465007072282,0.0,0.0030273756092651103,0.2477420346125487,0.0,0.0,0.0,0.025167731790435927,0.0,0.0,2.1967661851768856,0.4981528001318912,0.0,0.031761769306799525,0.0,0.663449087796968,0.0013680389857259516,0.33623539054244544,0.023169910793543236,0.0,0.0,0.0581407628204986,0.041399357551843013,0.0,0.0178326474622805,0.395904436860068,0.0357451152535917,0.023239436619722102,0.0,0.0,0.014388048897423704,0.0145797598627786
1960-02-01,0.0,0.0,0.0,0.051741354917909696,0.0,0.0,0.0,0.0018593441357743828,45.32681768744352,0.0,0.0,0.3372613045333603,0.06284220452774338,0.1204497845913354,0.0,0.08393705073689843,0.06865898646480396,0.0,0.031365890601320126,0.0,0.0030116720827460795,0.2475478127900232,0.0,0.0,0.0,0.02512838770302651,0.0,0.0,2.1920066754410947,0.5002647189056048,0.0,0.03170195551785969,0.0,0.6630216788466661,0.0013996195637326727,0.33666262724618223,0.023189199637796063,0.0,0.0,0.06019835796586302,0.03994979529374209,0.0,0.01780661147654171,0.3743223434053477,0.037240073803126175,0.022392516373768042,0.0,0.00033333333333343583,0.01472686972707081,0.014257049997253074
1960-03-01,0.0,0.0,0.0,0.051817950808152616,0.0,0.0,0.0,0.0018597438271339504,45.386288708220384,0.0,0.0,0.337670310289521,0.06297448152069163,0.12022925691579278,0.0,0.08395483726091303,0.06874621513896258,0.0,0.03148528049541206,0.0,0.0029959685562270487,0.24735359096749765,0.0,0.0,0.0,0.02508904361561709,0.0,0.0,2.187247165705304,0.5023766376793183,0.0,0.03164214172891985,0.0,0.6625942698963643,0.0014312001417393938,0.33708986394991897,0.02320848848204889,0.0,0.0,0.06225595311122745,0.038500233035641165,0.0,0.017780575490802916,0.3527402499506273,0.03873503235266065,0.021545596127813985,0.0,0.0006666666666668718,0.015065690556717918,0.01393434013172755
1960-04-01,0.0,0.0,0.0,0.05189454669839552,0.0,0.0,0.0,0.0018601435184935184,45.44575972899727,0.0,0.0,0.33807931604568164,0.0631067585136399,0.1200087292402502,0.0,0.08397262378492762,0.06883344381312118,0.0,0.031604670389504,0.0,0.0029802650297080183,0.2471593691449721,0.0,0.0,0.0,0.025049699528207674,0.0,0.0,2.182487655969513,0.5044885564530318,0.0,0.03158232793998002,0.0,0.6621668609460624,0.0014627807197461144,0.3375171006536558,0.023227777326301723,0.0,0.0,0.06431354825659187,0.037050670777540255,0.0,0.017754539505064122,0.33115815649590696,0.04022999090219512,0.020698675881859925,0.0,0.0010000000000003077,0.015404511386365024,0.013611630266202024
1960-05-01,0.0,0.0,0.0,0.051971142588638435,0.0,0.0,0.0,0.0018605432098530864,45.50523074977414,0.0,0.0,0.33848832180184235,0.06323903550658815,0.11978820156470757,0.0,0.08399041030894222,0.06892067248727979,0.0,0.03172406028359593,0.0,0.002964561503188988,0.24696514732244654,0.0,0.0,0.0,0.025010355440798257,0.0,0.0,2.1777281462337226,0.5066004752267453,0.0,0.031522514151040175,0.0,0.6617394519957605,0.0014943612977528354,0.3379443373573926,0.023247066170554557,0.0,0.0,0.06637114340195631,0.03560110851943934,0.0,0.017728503519325332,0.3095760630411867,0.0417249494517296,0.01985175563590587,0.0,0.0013333333333337431,0.015743332216012134,0.013288920400676502
1960-06-01,0.0,0.0,0.0,0.05204773847888136,0.0,0.0,0.0,0.0018609429012126546,45.564701770551025,0.0,0.0,0.338897327558003,0.06337131249953641,0.11956767388916498,0.0,0.08400819683295684,0.06900790116143839,0.0,0.03184345017768786,0.0,0.0029488579766699576,0.24677092549992105,0.0,0.0,0.0,0.02497101135338884,0.0,0.0,2.172968636497932,0.5087123940004589,0.0,0.03146270036210034,0.0,0.6613120430454585,0.0015259418757595567,0.3383715740611294,0.023266355014807383,0.0,0.0,0.06842873854732072,0.03415154626133842,0.0,0.017702467533586543,0.28799396958646634,0.04321990800126408,0.019004835389951808,0.0,0.0016666666666671794,0.016082153045659242,0.012966210535150976
1960-07-01,0.0,0.0,0.0,0.05212433436912427,0.0,0.0,0.0,0.0018613425925722226,45.62417279132789,0.0,0.0,0.3393063333141637,0.06350358949248466,0.11934714621362234,0.0,0.08402598335697145,0.06909512983559699,0.0,0.0319628400717798,0.0,0.0029331544501509273,0.2465767036773955,0.0,0.0,0.0,0.024931667265979424,0.0,0.0,2.168209126762141,0.5108243127741724,0.0,0.0314028865731605,0.0,0.6608846340951566,0.0015575224537662778,0.3387988107648662,0.023285643859060214,0.0,0.0,0.07048633369268516,0.032701984003237504,0.0,0.01767643154784775,0.266411876131746,0.04471486655079855,0.01815791514399775,0.0,0.002000000000000615,0.01642097387530635,0.01264350066962545
1960-08-01,0.0,0.0,0.0,0.05220093025936718,0.0,0.0,0.0,0.0018617422839317898,45.68364381210477,0.0,0.0,0.3397153390703244,0.06363586648543293,0.11912661853807975,0.0,0.08404376988098605,0.0691823585097556,0.0,0.032082229965871734,0.0,0.0029174509236318965,0.24638248185487,0.0,0.0,0.0,0.02489232317857001,0.0,0.0,2.1634496170263504,0.5129362315478859,0.0,0.03134307278422067,0.0,0.6604572251448548,0.0015891030317729989,0.3392260474686029,0.023304932703313047,0.0,0.0,0.07254392883804958,0.03125242174513659,0.0,0.017650395562108956,0.2448297826770257,0.046209825100333016,0.01731099489804369,0.0,0.0023333333333340513,0.016759794704953458,0.012320790804099924
1960-09-01,0.0,0.0,0.0,0.052277526149610086,0.0,0.0,0.0,0.0018621419752913578,45.74311483288165,0.0,0.0,0.340124344826485,0.0637681434783812,0.11890609086253714,0.0,0.08406155640500065,0.0692695871839142,0.0,0.032201619859963664,0.0,0.002901747397112866,0.24618826003234445,0.0,0.0,0.0,0.02485297909116059,0.0,0.0,2.158690107290559,0.5150481503215996,0.0,0.03128325899528083,0.0,0.6600298161945529,0.00162068360977972,0.3396532841723397,0.02332422154756588,0.0,0.0,0.074601523983414,0.02980285948703567,0.0,0.017624359576370166,0.2232476892223053,0.0477047836498675,0.016464074652089634,0.0,0.002666666666667487,0.017098615534600566,0.0119980809385744
1960-10-01,0.0,0.0,0.0,0.05235412203985301,0.0,0.0,0.0,0.0018625416666509262,45.80258585365852,0.0,0.0,0.3405333505826457,0.06390042047132945,0.11868556318699455,0.0,0.08407934292901525,0.06935681585807281,0.0,0.032321009754055594,0.0,0.0028860438705938358,0.2459940382098189,0.0,0.0,0.0,0.024813635003751174,0.0,0.0,2.153930597554768,0.5171600690953131,0.0,0.031223445206340995,0.0,0.659602407244251,0.001652264187786441,0.3400805208760765,0.02334351039181871,0.0,0.0,0.07665911912877843,0.028353297228934756,0.0,0.017598323590631376,0.201665595767585,0.04919974219940197,0.015617154406135574,0.0,0.0030000000000009225,0.017437436364247674,0.011675371073048876
